raw_column,clean_column,multi_valid,remove_column
"[1] ""Respondent ID""                                                                                                                                                                                                                                                                                                                                                                                                                   ",PII_Respondent_ID,no,no
"  [2] ""Collector ID""                                                                                                                                                                                                                                                                                                                                                                                                                    ",PII_Collector_ID,no,no
"  [3] ""Start Date""                                                                                                                                                                                                                                                                                                                                                                                                                      ",PII_Start_Dtae,no,no
"  [4] ""End Date""                                                                                                                                                                                                                                                                                                                                                                                                                        ",PII_End_Date,no,no
"  [5] ""IP Address""                                                                                                                                                                                                                                                                                                                                                                                                                      ",PII_IP_Address,no,no
"  [6] ""Email Address""                                                                                                                                                                                                                                                                                                                                                                                                                   ",PII_Email_Address,no,no
"  [7] ""First Name""                                                                                                                                                                                                                                                                                                                                                                                                                      ",PII_First_Name,no,no
"  [8] ""Last Name""                                                                                                                                                                                                                                                                                                                                                                                                                       ",PII_Last_Name,no,no
"  [9] ""Custom Data 1""                                                                                                                                                                                                                                                                                                                                                                                                                   ",Empty_1,no,no
" [10] ""What is the name of your organisation?""                                                                                                                                                                                                                                                                                                                                                                                          ",Q01_Org_Name,no,no
" [11] ""Where are you primarily based or registered?""                                                                                                                                                                                                                                                                                                                                                                                    ",Q02_Org_Location,no,no
" [12] ""Who is the primary contact at your organisation for the H2H Network?This information will be available to other network members and the core team.  ""                                                                                                                                                                                                                                                                            ",Q03_PII_Primary_Contact_1,no,no
" [13] ""...13""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q03_PII_Primary_Contact_2,no,no
" [14] ""...14""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q03_PII_Primary_Contact_3,no,no
" [15] ""...15""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q03_PII_Primary_Contact_4,no,no
" [16] ""...16""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q03_PII_Primary_Contact_5,no,no
" [17] ""...17""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q03_PII_Primary_Contact_6,no,no
" [18] ""...18""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q03_PII_Primary_Contact_7,no,no
" [19] ""...19""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q03_PII_Primary_Contact_8,no,no
" [20] ""...20""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q03_PII_Primary_Contact_9,no,no
" [21] ""...21""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q03_PII_Primary_Contact_10,no,no
" [22] ""Who should we contact about communications, the website, etc..Leave blank if it is the same person as above.""                                                                                                                                                                                                                                                                                                                    ",Q04_PII_Communication_Contact_1,no,no
" [23] ""...23""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q04_PII_Communication_Contact_2,no,no
" [24] ""...24""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q04_PII_Communication_Contact_3,no,no
" [25] ""...25""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q04_PII_Communication_Contact_4,no,no
